graph6	class	class_sizes
S??????_E?F?L?[?GQ?E_BA?H_?J?CD??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?E_AQ?E_?X?CB??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?E_AI?E_?Y?CB??	E	[13, 13, 12, 12]
S??????_E?F?L?[?GQ?B_BA?H_?M?CD??	E	[13, 13, 12, 12]
S??????_E?F?L?K_WAAOOAS?D_?F??L??	T2	-
S??????_E?F?L?I_J?AI?@g?AWCB??B_?	E	[13, 13, 12, 12]
S??????_E?F?L?I_J?AI?@EAA_?F??B_?	E	[13, 13, 12, 12]
S??????_E?F?L?I_J?AA_@S?Ag?L?CB??	E	[13, 13, 12, 12]
S??????_E?F?L?I_J?AA_@K?BG?L?CB??	E	[13, 13, 12, 12]
S??????_E?F?L?I_J?AA_@K?Ag?M?CB??	E	[13, 13, 12, 12]
S??????_E?F?L?I_J?A?o`_?D_?F??B_?	E	[13, 13, 12, 12]
S??????_E?F?L?I_J?A?o`O?E_?F??B_?	E	[13, 13, 12, 12]
S??????_E?F?L?I_J?A?o`O?D_?F??D_?	E	[13, 13, 12, 12]
S??????_E?F?L?I_J?A?o_S?D_?F??L??	E	[13, 13, 12, 12]
S??????_E?F?H_[?Go?g_aO?Gg?B_?F??	E	[13, 13, 12, 12]
S??????_E?F?H_[?Gg?Y?AEAA_?D_?b??	E	[13, 13, 12, 12]
S??????_E?F?H_[?Gg?g_aO?Gg?D_?F??	E	[13, 13, 12, 12]
S??????_E?F?H_[?Gg?g_aG?HG?D_?F??	E	[13, 13, 12, 12]
S??????_E?WAWAKCB_?w?I_?B_?F??J??	T2	-
S??????_E?WAWAKCB_?s?J??D_?F??F??	T2	-
S??????_E?WAWAKCB_?s?IO?D_?F??L??	E	[13, 13, 12, 12]
S??????_E?WAWAKCB_?s?BO?E_@B??F??	E	[13, 13, 12, 12]
S??????_E?W@[?BC?Y@o?Gg?I_?i??J??	E	[13, 13, 12, 12]
